author,content
太极交易老白,甲醇今日看法周三甲醇最低触及2814，中阴线报收。昨日回落下破2900一线，低点回踩2800一带，进入提示下探走势。预计盘中依托该线震荡整理结束，后续应有进一步杀跌实现，参考2720-2750一带回落目标位置。从上游来看，目前国际局势动荡，俄乌矛盾对原油的影响或继续加剧，原油仍有走高可能，而冬奥会对下游复工、需求的影响，以及国内各地对疫情的管控有待观察，但可以肯定的是，节后物流逐步恢复，运费下降，同时甲醇企业库存增加。从下游来看，MTO开工率86.1%，环比上周上升3.2%，同比往期同年上升1.9%，处于历史中等水平。华北地区甲醛、MTBE装置受冬奥会影响存在降负或停车计划。其他下游产品开工维持稳定。总体来说，下游因为限产开工维持低位，补库消费不会太明显，但上游库存同样不高从技术面来看，目前甲醇上方短线压力在2842附近，如果能有效突破压力，上看2880附近，如果突破不了，高空介入。下方短线支撑在2764，如果在支撑附近企稳，短线低多介入，如果跌破支撑，下看2725附近。#期货##财经##甲醇#
期货经纪人黑曼巴,期货开户，正规期货公司，手续费+1分，咨询：lyrzk588【支撑逻辑持续，锌价震荡偏强】期货开户期货投资交流#期货开户##沪金#2月10日讯，海外欧洲炼厂前期减产计划均已兑现，且欧洲库存维持低位、现货维持高升水，精炼锌供应仍紧缺。叠加当前俄乌局势的不确定性，欧洲能源问题对内外锌价的支撑因素仍存。当前锌市逻辑仍围绕欧洲能源导致的减产及国内终端需求向好预期，在能源问题未扭转及旺季需求未伪证前，锌价或维持震荡偏强运行。
紫扬剑的微博,【英国外交大臣访俄讨论乌克兰局势，俄外长：会谈令人失望】俄乌边境局势仍未有缓和之势，多名西方官员近期陆续访俄。当地时间2月10日，英国外交大臣特拉斯访问俄罗斯首都莫斯科，并与俄外交部长拉夫罗夫进行会谈。特拉斯当日说，拉夫罗夫对她表示俄罗斯没有计划“入侵乌克兰”，但她称“我们需要看到这些言论之后要有（相应的）行动”，“我们需要看到驻扎在乌克兰边境的（俄罗斯）部队和武器转移到其他地方”。拉夫罗夫则说，俄罗斯并不是要“胁迫或威胁任何人”，被威胁的是俄罗斯。他还表示，会谈“令人失望”，就像“聋人与盲人交谈”，“没有人在听对方讲话，不幸的是，我们解释自己立场的努力没有被听到。”拉夫罗夫还在当天中的会谈中表示，俄英关系已经跌至多年来的低点。他希望两国政府能够成功恢复双边合作机制。俄英两国防长将于2月11日在莫斯科会面。O英国外交大臣访俄讨论乌克兰局势，俄外长：会谈令人失望
张林1020,《俄乌局势突变，美突然“不宣而战”，战场不在乌克兰，中方应警惕》众所周知，美国一直都把俄罗斯视作自己最大的对手，虽然近些年来针对中国所采取的制裁措施力度越来越大，但美国从未放弃过打压俄罗斯的机会。O网页链接
四川魏静,【#俄乌危机引出了德法小圈子#你都知道吗？】俄乌局势升级，德法领导人本周开启连轴转的外交斡旋模式。除了北约，欧盟，七国集团，这些我们常见的西方集团名称外，大家可能会注意到一些不太听到的联盟或者名字。德国和法国竟然早有这些“小圈子”！本期《陈彬欧吧》为你解读“魏玛三角”，“诺曼底模式”和“明斯克协议”等概念。（看看新闻）L看看新闻KNEWS的秒拍视频#俄乌局势持续紧张#
智库观察分析,#国际国内水灵灵LY专家智库团队##全球智库观察##智库集团##军事战略专家团队##国际知名专家#《国际局势:俄乌局势，法德两国亲自出马调停》法德不想趟混水，不想傻乎乎为美国挑起的战争背锅，收益却是美国。其时法德聪明得很，清楚美国的本性。当然也要为法德两国勇气点赞:第一为自己的人民作想;第二为世界和平贡献了一份力量，第三挽回被拖进战争的天价损失，第四，挽回了在世界人民心中形象;第五也表达了被美方利用感到不满。第六为法德两国对战争来临的清醒点赞，法德多年被美拉进战争带来的天价损失无以估算，最后连油水都捞不着，都被美国捞了！L智库观察分析的微博视频
1969张江萍,《拜登表示若俄“入侵”乌克兰北溪-2将被封德国总理朔尔茨怂了乌克兰局势俄乌冲突俄罗斯》拜登表示若俄“入侵”乌克兰北溪-2将被封德国总理朔尔茨怂了乌克兰局势俄乌冲突俄罗斯O网页链接
沙姆雄狮_EL,昨天美国又向乌克兰输送了80吨弹药。#俄乌局势##国际军事#
直新闻,#俄乌边境危机##俄乌局势症结在于美俄博弈#【孙壮志：俄乌双方，谁也不愿意开第一枪丨新春观察】自去年底开始，俄乌局势愈发趋向“白热化”。随着局势不断升温，国际新闻与之相关的头条，也愈发多起来。众人的关注点，逐渐开始聚焦在“俄乌真的会开战吗？”深圳卫视直新闻记者以此为点，专访了中国社科院俄罗斯东欧中亚研究所所长、中国社科院中俄战略协作高端合作智库副理事长兼秘书长孙壮志。在他看来，目前，乌克兰局势的走向扑朔迷离，但俄乌双方谁都不愿且都不会轻易的开出那第一枪。#俄乌之间“扣着扳机寻求对话”？#O孙壮志：俄乌双方，谁也不愿意开第一枪丨新春观察
海岸猎人水相,#军事##军事历史全触达#乌克兰局势：俄乌对峙前线，战壕内泥泞不堪，雨季到来了？L海岸猎人水相的微博视频
快乐生活家_黄少鸿,《美俄临开打收手，美重心又转移，围堵中国，却发现被中国包围了》最近国际焦点都在俄乌局势，北约和俄罗斯几乎临近战争。只不过国际社会最近焦点都在俄乌局势，却很少人关注到美国已经将重心转移到了东亚。O网页链接
金市之首,俄乌地缘局势持续严峻的情况下，提振油价持续上涨，导致油价短线上拉，导致我们原油空单被小损出局，这种消息面不是我们能控制的，我们能做的就是严格做好风控，但是大家不要看着油价再涨就去追多，原油大趋势依旧看空，下跌只是时间问题，我们单子小损不是大方向不对，而是宁可小损也不去扛单#外汇黄金##原油#
营口日报,#掌上新营口#美国热炒俄乌局势专家：美军工企业意图扩大欧洲市场O网页链接
陈彬欧吧,#v光新星##俄乌局势#俄乌局势升级，德法领导人本周开启连轴转的外交斡旋模式。除了北约，欧盟，七国集团，这些我们常见的西方集团名称外，大家可能会注意到一些不太听到的联盟或者名字。德国和法国竟然早有这些“小圈子”。本期《陈彬欧吧》为你解读“魏玛三角”，“诺曼底模式”和“明斯克协议”等概念。L陈彬欧吧的微博视频
SMGNEWS,【#俄罗斯给西方开局势降温清单#北约战机军车随后抵达俄周边】当地时间2月9日，俄方表示已与西方沟通，要想在短时间内缓和俄乌局势必须做到这几点。俄罗斯外交部发言人扎哈罗娃表示，必须停止向乌克兰运送武器，召回其领土上的西方军事顾问和教官，停止乌克兰和北约国家武装部队的联合演习，并从乌克兰领土上撤回所有之前交付给基辅的外国武器。不过，就在俄方喊话的同时，以美国为首的北约向东欧部署的军事装备，已陆续抵达俄罗斯家门口。LSMGNEWS的微博视频
战争史,西伯利亚的俄罗斯坦克和火箭发射器抵达欧洲（乌法附近）#俄乌局势持续紧张##俄罗斯军事#L战争史的微博视频
陈彬欧吧,#v光新星#本周，德法两国领导人和外长兵分多路赴美俄乌进行外交斡旋，为了防止在欧洲大陆一触即发的俄乌战争。随后，又邀请波兰总统在柏林会晤。本期《陈彬欧吧》聊聊为什么外媒说，这些会晤“气氛友好”，但成果寥寥。#俄乌局势#L陈彬欧吧的微博视频
JIGUO-季国,#俄乌局势#美国想用战争重塑经济，这不是策略，这是深渊。
沧海一粟_1999,《大战在即？北约东扩已到俄罗斯门口，俄罗斯外长：中国独一份》据海外网报道，北约东扩已经抵达俄罗斯家门口了，这意味俄乌局势变得更加紧张，俄也曾试图与美国和北约进行谈判，但却都是以失败告终了。O网页链接
星空间纯探索,前些天柯第一次宣布L0紧急状态，这个意思我们是知道的，可是他宣布了，接下来还是得看银联的落实结果，再怎么解读吹捧都枉然。柯以前说过，他会在特定时期宣布紧急状态，这个紧急状态是嘿嘿突破极限的临界状态（春节前后时期现出很多端倪：包括美煽动俄乌紧张局势未遂、大量老人扎堆过S）；心理和身体的时间互伤效应在加大，量子电脑的图表也看不见这个演变。总之，2022是清理和一接筹备的关键年，建议少些吹捧，多些大家发挥我是临在的魄力和监督，督促落实。只有落实了，才不会一年又一年的没完没了。
铁钩历史,#世界历史#如果要了解俄乌局势，必须了解乌克兰与俄罗斯关系史。我们来对比两次俄波战争，视频前半段是斯摩棱斯克战争，当时乌克兰大部分被波兰——立陶宛联邦统治，拥有乌克兰的波兰把沙俄打趴下了。后半段是1654年到1667年大洪水时代俄波战争，请注意看当时乌克兰人的哥萨克酋长国已经建立，但臣服于沙俄（Cossack就是哥萨克），乌克兰南部白色部分是克里米亚汗国（Crimea），当然地图并不完全准确，1654到1667年俄波战争早期克里米亚汗国是与波兰结盟的。哥萨克酋长国臣服于沙俄之后，俄军在波兰势如破竹。有兴趣可以看看@诚闻讲谈，置顶内容讲述的是俄乌关系史概况，还专门有一期关于哥萨克酋长国的视频，以后还会继续讲述哥萨克酋长国和这次关系乌克兰命运的俄波战争。俄波战争沙俄胜利后，乌克兰从属俄罗斯的局面直到1991年苏联解体。#历史云讲堂##微博公开课#L铁钩历史的微博视频
郑氏交易,贵金属春节期间贵金属市场总体震荡微涨。利多因素主要有：1、英国央行加息以及欧央行在通胀压力下年内加息预期升温，拖累美指下行。2、俄乌局势支撑避险情绪，以及能源价格上涨推升通胀压力，皆利多贵金属价格。但在全球央行货币政策转向加息下，总体反弹力度受限，以及美债收益率继续走高，增加持有黄金机会成本。多空交织下，贵金属总体延续了震荡格局。数据方面，周五公布的非农就业数据大幅好于预期，与周三ADP就业新增为负，再度形成劈叉，亦加剧了期间贵金属价格的波动，但短期看，总体贵金属价格依然难以形成趋势性行情。
美洲报姐,【俄乌局势升级！美国增兵波兰，乌克兰开放防空洞，美：俄或将用核】又开始煽风点火了？美国军队进入波兰，乌克兰挑衅俄罗斯，局势有变L美洲报姐的微博视频
胡屹期货策略团队,【开盘前，一文尽览2022春节假期宏|观产业大事——胡屹策略团队·专注期货趋势】◆春节期间，情绪修复，港股虎年开门红，大宗商品普|涨。◆发|改|委假期仍尽力“稳预期”。◆俄乌局势+OPEC增产不及预期共同推升油价创7年半新高。◆2月7日（初七）9:00开市，当晚恢复夜盘。胡屹策略团队详细整理了2022春节假期宏|观产业大事，点击下方文章即可查看。希望能给您带来参考，为明天的开市做好准备。祝您开市大吉！#期货##宏观经济##期货每日谈#O开盘前，一文尽览2022春节假期宏观产业大事！
看看新闻全球眼,【俄乌局势紧张#乌克兰开始平民军事训练#年纪最小参与者仅10岁】#乌克兰10岁男孩参加军事训练#当地时间2月5日，乌克兰基辅，俄乌紧张局势升级，数百名平民加入乌克兰预备役部队进行军事训练，他们中有儿童，也有成年男女。训练队伍重10岁男孩雅罗斯拉夫·皮卡利克（YaroslavPikaliyk）挥舞着木制突击步枪，站在成年志愿者旁边，接受军事训练。不过因为雅罗斯拉夫还未满18岁，并没有正式报名参军。L看看新闻KNEWS的秒拍视频
混沌不是梦,MPOB月报前瞻：预计1月期末库存环比回升下周四（2月10日）将迎来MPOB供需报告，根据SPPOMA及船运调查机构统计，马棕1月产量预计环比下滑12.4%，而同期出口降幅在25.91%—27.08%，按此测算马棕1月末库存或落在160—165万吨区间，较去年12月末的158万吨有所回升。在大量交易印尼出口限制及俄乌紧张局势可能为马棕出口带来的利好之后，短期市场关注点可能回到马棕1月库存的止降转升上来，这将一定程度削弱棕榈油的看涨热情。
时自声声,俄乌局势持续发酵！美军“增兵”抵达波兰美俄乌三方出招令东欧局势升级
凡尘论市168,贵金属春节期间贵金属市场总体震荡微涨。利多因素主要有：1、英国央行加息以及欧央行在通胀压力下年内加息预期升温，拖累美指下行。2、俄乌局势支撑避险情绪，以及能源价格上涨推升通胀压力，皆利多贵金属价格。但在全球央行货币政策转向加息下，总体反弹力度受限，以及美债收益率继续走高，增加持有黄金机会成本。多空交织下，贵金属总体延续了震荡格局。数据方面，周五公布的非农就业数据大幅好于预期，与周三ADP就业新增为负，再度形成劈叉，亦加剧了期间贵金属价格的波动，但短期看，总体贵金属价格依然难以形成趋势性行情。后市看，短线贵金属市场预计维持震荡格局，但中期在美国经济增速放缓下依然维持看多，操作上以逢低买入为主。
SMGNEWS,【#首批美军指挥官抵达波兰##俄2架战略轰炸机在白俄罗斯完成巡逻任务#】近期俄乌局势持续升温，北约成员国不断向东欧增兵，2月5日，首批增援美军抵达波兰。与此同时，俄2架图-22M3战略轰炸机在白俄罗斯完成巡逻任务。LSMGNEWS的微博视频
方世平fangshiping,Oanda美洲业务高级市场分析师EdMoya表示，原油价格的上涨没有显示放缓迹象，因为供应和需求因素仍然非常看涨，包括俄乌局势和伊核谈判在内的地缘政风险也是油价的不确定因素，因为它们似乎更有可能导致短期内市场趋紧。
直新闻,#美国第八批军援运抵乌克兰#【美军先头部队抵达东欧俄军派轰炸机巡逻】2月5日，1700名美军已进驻距乌克兰仅100公里的波兰热舒夫，另外1000名驻德国的美军也将抵达罗马尼亚。俄罗斯则继续举行军演，派出两架可携带核弹头的远程轰炸机与白俄空军联合巡逻。美国和北约声称，俄罗斯集结重兵，有“入侵”之势。俄方否认，强调北约活动威胁俄边境安全，俄方有权在境内调动部队以保卫领土。#俄乌局势#L直新闻的微博视频
一个香饽饽500,近期的俄乌危机是美帝与俄罗斯联手导演的一出双簧。演出这出双簧的目的只有一个就是通过制造地区紧张局势，让美国和俄罗斯各自获得利益。从美国方面讲，通过制造地区紧张局势，打击欧盟内部与美国的离心力量，让欧洲更加紧密团结在美国周围。从俄罗斯方面讲，通过制造局部冲突，推高国际原油和天然气价格，让俄罗斯获得最大经济利益。国际通胀迅速升高，尤其是原油价格快速上涨，让亚洲制造业低价优势丧失，促进欧美国家制造业复苏和回归。对未来俄乌危机走向预判。是否会真打，主要取决于石油价格。如果国际原油上涨迅速，则欧美国家制造业复苏会加快，经济根基越来越稳固，则战争就不会爆发。如果国际原油价格上涨非常缓慢，则欧美国家制造业复苏缓慢，经济根基脆弱，则战争一定会爆发。
凤凰卫视,【美国增兵驻守波兰，在德国设支援总部】据德国及波兰的政府官员称，德国、法国、波兰三国领导人定于本月8号在柏林会面，商讨如何缓和俄乌紧张局势。而在5号，一架载有数名美国指挥人员的美空军军机，在波兰南部热舒夫一个靠近乌克兰边境的机场降落。波兰军方发言人随后证实，抵达的是隶属美国陆军第82空降师的首批成员，其余部队以及军事装备也将陆续抵达。又指美军的支持是团结的信号，相信波兰军队与美军能延续过往合作默契，相互信任依靠。另外，有新一批美军武器运抵乌克兰，这是美国承诺支援乌方的部分装备。美国总统拜登早前承诺调派3000名士兵保护东欧北约盟国。五角大楼2号就曾宣布，会有合共1700名隶属第82空降师、原驻北卡罗莱纳州布拉格堡的士兵派遣至波兰。另有300人则调派至德国，他们4号飞抵德国中西部的威斯巴登，并着手建立总部中心，支援1700名驻守波兰的空军。面对北约的严阵以待，俄罗斯以联合空中巡逻作为回应。俄罗斯国防部发布消息称，俄罗斯空天部队两架图-22m3远程轰炸机在白俄罗斯领空进行了巡逻，并演练了与白俄罗斯空军、防空部队联合执行任务的项目。（凤凰卫视许昕综合报道）
四川魏静,【#首批美军指挥官抵达波兰##俄2架战略轰炸机在白俄罗斯完成巡逻任务#】近期俄乌局势持续升温，北约成员国不断向东欧增兵，2月5日，首批增援美军抵达波兰。与此同时，俄2架图-22M3战略轰炸机在白俄罗斯完成巡逻任务。（看看新闻（L看看新闻KNEWS的秒拍视频#乌克兰总统称战争恐慌已致125亿美元撤出#
石宏观察,【突发，埃尔多安被确诊，事发前曾出访乌克兰，俄乌局势恐陷入僵局】当地时间2月5日，土耳其总统埃尔多安在其社交账号上确认新冠检测呈阳性，说明土耳其现在的疫情很严重，作为埃尔多安的密接者，泽连斯基会不会被传染。#石宏观察##微博公开课##我在微博涨知识#L石宏观察的微博视频
正义123456fhm,俄乌边境局势紧张，美国彭博社在这个敏感时刻，错误发布了一条“俄罗斯入侵乌克兰”的报道。联合国方面就此表态。据俄罗斯卫星网2月6日报道，当被问到联合国是否担心彭博社等此类错误报道时，联合国秘书长副发言人哈克（FarhanHaq）2月5日说：“我们认为，各方都应避免采取任何可能使局势升级的行动或言论。”彭博社错发俄罗斯入侵乌克兰消息联合国表态O彭博社错发俄罗斯入侵乌克兰消息联合国表态
海棠秋雨688,彭博社错发俄罗斯入侵乌克兰消息联合国表态.......俄乌边境局势紧张，美国彭博社在这个敏感时刻，错误发布了一条“俄罗斯入侵乌克兰”的报道。联合国方面就此表态。据俄罗斯卫星网2月6日报道，当被问到联合国是否担心彭博社等此类错误报道时，联合国秘书长副发言人哈克（FarhanHaq）2月5日说：“我们认为，各方都应避免采取任何可能使局势升级的行动或言论。”。据悉，彭博社4日意外发布了“俄罗斯入侵乌克兰”的标题，半小时后将其删除。彭博社声称是“意外”发布了预先拟好的备用标题，并为此致歉，表示会调查此事。O彭博社错发俄罗斯入侵乌克兰消息联合国表态
有陈陈大人,《俄罗斯终于忍无可忍，对英国出手》近段时期以来，俄乌局势高度紧张。该地区的搅局者除了美国外，就要数自诩为“日不落帝国”的英国。面对英国一副无赖嘴脸，俄罗斯终于忍无可忍，对英国出手。O网页链接
悲伤的WinP用户,俄外交部发言人：美英炒作俄乌紧张局势意在转移视线O俄外交部发言人：美英炒作俄乌紧张局势意在转移视线
马牧之,【马克龙抢在德国前面接连出访俄乌，未来欧洲统一要看法国？】马克龙这次既平和了乌克兰和俄罗斯的局势，又在美国面前树立了法国独立外交的榜样，同时又在德国面前抢了头汤。过去三十几年，欧洲的统一是德国牵着法国的手，未来一段时间恐怕是年纪轻的马克龙会牵着年纪老的朔尔茨来走了。O马克龙抢在德国前面接连出访俄乌，未来欧洲统一要看法国？
QuantHedgeFund,#量化对冲基金#【美尔雅期货：俄乌边际紧张局势若升级，或抬升锌价】2月8日讯，国内宏观主要是围绕稳增长展开的，预计财政、货币一季度将维持双宽格局，基建加速有望。此外，俄罗斯和乌克兰的边际紧张局势近期有愈演愈烈之势，若态势升级，可能会影响俄罗斯向欧洲的天然气供应，大幅抬升锌价。
Doggy_ioi,February8，2022-俄罗斯总统VladimirPutin与法国总统EmmanuelMacron举行会晤，克林姆林宫。2月7日，Macron访问莫斯科斡旋俄乌紧张局势，双方会谈时间长达5个小时。Macron称本次沟通「务实且深入」，并已向俄方明确表达建立信任、避免战争的立@iDaily每日视野O网页链接
方步侠2022,February8，2022-俄罗斯总统VladimirPutin与法国总统EmmanuelMacron举行会晤，克林姆林宫。2月7日，Macron访问莫斯科斡旋俄乌紧张局势，双方会谈时间长达5个小时。Macron称本次沟通「务实且深入」，并已向俄方明确表达建立信任、避免战争的立@iDaily每日视野O网页链接
大象军视,更多来自西伯利亚的俄罗斯坦克和火箭发射器抵达欧洲（乌法附近）#俄乌局势持续紧张##俄罗斯军事#L大象军视的微博视频
参考消息,#美被指在俄乌局势上危言耸听#【美被指在俄乌局势上“危言耸听”布林肯急忙辩护——】据法新社华盛顿消息，面对被指责在俄罗斯可能进攻乌克兰的议题上“危言耸听”之际，在对一些计划守口如瓶的同时，美国为其有关警告的可信性进行了辩护。美国国务卿布林肯7日在一场新闻发布会上说：“这不是危言耸听。这只不过是事实。”报道称，华盛顿去年秋天开始就俄罗斯在俄乌边境大肆集结部队发出警示，指责俄罗斯总统普京在策划一场大规模袭击。最近几天，拜登政府泄露了美国情报界对俄乌边境当前局势的评估。美方情报称，俄罗斯已在俄乌边境部署11万大军，达到发动一场全面进攻所需兵力（15万）的近70%。报道称，但一些关键人物试图淡化这些警告。乌克兰外长德米特罗·库列巴6日在推特上说：“不要相信这些末日预言。”（编译/杜源江）
四川魏静,【法德领导人积极斡旋，能否建立俄乌“新平衡”？】俄乌局势剑拔弩张，欧洲多国领导人正加紧展开斡旋。在英国首相约翰逊之后，2月7日，法国总统马克龙飞抵莫斯科开启斡旋之行。德国总理朔尔茨也将于下周一、二，先后访问乌克兰和俄罗斯。（看看新闻）L看看新闻KNEWS的秒拍视频#俄法领导人5小时会谈磋商乌克兰局势##乌克兰俄罗斯#
